user_id	video_id	like	reason_tag	rating	review	video_tag	interest_tag	watch_again
2017	3539	0	[2398, 4654, 3912, 1413, 3]	3.0	I used to want my songs not only to sink and move me, but to make them feel like	[423, 3127, 4887, 1083]	[1083, 2834, 3127, 423]	1
2017	3128	0	[2909, 2282, 5344, 5666, 2]	5.0	This Guo Jingming doesn't like this work. I want to know why he does this	[5614, 2030, 3989, 5927]	[2282, 2030, 2909, 5614]	0
2017	1967	0	[2, 3, 4, 2013, 5223, 3131]	1.0	Dasma is a very interesting anchor. I liked him very early	[1128, 2700, 5223, 4818, 1]	[4818, 224, 3697, 5739]	1
2017	2130	1	[1202, 4005, 2679, 5774]	1.0	The blind man may be installed, should be for the Short Video traffic	[744, 563, 447, 1202]	[447, 5616, 3055, 3858, 2679]	0
2017	3076	0	[2726, 3042, 1203, 1105, 1611, 2]	5.0	This animation is very interesting, my friends and I like this style of editing	[1783, 102, 5481]	[1105, 1098, 172]	1
2017	283	1	[4292, 1413, 3687, 5477]	5.0	like the League of Legends game, can play with friends to relax pressure	[5953, 5074, 2179, 0]	[1909, 1413, 2179, 3687]	0
2017	98	0	[17, 2334, 3028, 3431]	5.0	Boy, I love this style of video. It's very educational	[3205, 17, 440, 1]	[5549, 971, 147, 1]	1
2017	1536	0	[2231, 5143, 5115, 2958, 3476, 2]	5.0	This video is very interesting and I think it is worth watching by the majority of netizens	[732, 3314, 1672, 1651, 791, 6]	[1651, 4680, 791, 1]	0
2017	1371	0	[4245, 3683, 2435, 5447, 2]	5.0	like classical Chinese ancient poetry, very interesting, profound culture	[2435, 4534, 3, 4929]	[4999, 799]	0
2017	998	1	[4292, 3794, 5207, 6030, 6]	1.0	This inside has bilk suspicion, why watch video to be able to have the voice of pay treasure	[4955, 753, 5207, 4292, 1327, 1]	[4955, 6030, 1327, 3431, 2236, 1]	0
2017	4264	1	[902, 1599, 3778, 4096, 6, 2]	1.0	I like to see beautiful women dance, I think beautiful women dance very interesting	[3722, 4963, 5226, 726]	[0, 1, 5226, 902, 3778, 726, 4963, 6065]	0
2017	2879	1	[4818, 2413, 743, 4390, 1454]	1.0	Dasma is a very interesting anchor. I like him very much. I hope he can come.	[4818, 1317, 1454, 87, 827, 1]	[5201, 743, 849, 5961, 4818]	0
2017	2386	1	[143, 623, 2483, 1265, 1]	1.0	There are advertisements in the video. I don't like to watch advertisements in the video	[5371, 143, 623, 4443, 1265, 1, 2]	[3687, 4688, 1688, 5074, 444, 143]	0
2017	3549	1	[4746, 2174, 4000, 4355]	5.0	April Fool's Day is very interesting, you can feel the holiday atmosphere	[1203, 1623]	[1, 2116, 4896, 5191, 4312, 621]	0
2017	3204	1	[6, 5, 2956, 3806]	5.0	Russia is friendly in fighting the epidemic, but the United States is very	[5, 1395, 3205, 1347, 2956, 1137, 0]	[3173, 1347, 3873, 5313, 6]	0
2017	3826	0	[5725, 5795, 6, 5]	1.0	I don't like it. Men on the Internet pretend to be pseudo-mothers and teach teenagers on the Internet badly.	[5725, 4978, 2321]	[0, 5725, 2231, 6029, 3205, 6]	0
2073	3676	0	[1528, 5621, 5963]	2.0	I don't like Japan culture, of course, and I don't like Japanese songs or anything.	[1317, 5963, 1528, 5, 6]	[4554, 5443, 1528, 5, 6]	0
2073	4446	1	[467, 331, 4038]	4.0	Many of the famous universities in the video are very exciting with background music.	[4038, 467, 331, 2572, 5, 6]	[4038, 384, 467, 2572, 5, 6]	0
2073	3333	1	[5, 6, 3140, 4053, 1203]	4.0	Spongebob dancing in the video is funny, and the background music works well.	[5, 6, 1203, 3140, 4053]	[1203, 3140, 4053, 5, 6]	0
2073	2139	0	[3687, 1412, 2236]	2.0	The content in the video looks painful and I don't like it much, and I don't like the background music either.	[4053, 3687, 2236, 5, 6]	[1412, 3687, 5891, 5, 6]	0
2073	2541	0	[1317, 5778, 809, 5, 6]	2.0	I didn't get much of this video, and there was nothing to interest me.	[1528, 2262, 3687, 5, 6]	[3332, 1528, 3687, 5, 6]	0
2073	3463	1	[5, 6, 4172, 3961, 5286]	4.0	I was surprised to see Tom and Lin in a video with nice background music.	[5286, 1401, 2774, 3961, 5, 6]	[2774, 5286, 4172, 5, 6]	0
2073	4599	1	[641, 5, 6, 3687, 5739]	4.0	The video is very funny, and the content in the video is made into music at the back, which is very novel.	[3687, 5683, 5739, 5, 6]	[5, 6, 641, 5683, 3687]	0
2073	1980	1	[5004, 591, 6121, 5, 6]	4.0	This video is very funny in terms of post-editing and post-dubbing. I love it.	[591, 5739, 3687, 5, 6]	[591, 3687, 5739, 5, 6]	0
2073	1107	1	[521, 2236, 467]	4.0	In ordinary life can also breed a lot of fun, I looked after the good happy.	[3687, 2236, 521, 6, 5]	[405, 521, 2236, 3687, 5, 6]	0
2073	4084	1	[1528, 1511, 6096]	4.0	The five people in the video for the voice of expression let me shine, I envy, also like.	[5, 6, 1511, 1528, 6096]	[6096, 1511, 1528, 5, 6]	0
2073	1798	1	[3902, 1112, 5505]	4.0	The background music is my favorite singer singing, very nice, Shen Yue very good-looking.	[519, 5, 6, 1112, 4902]	[5, 6, 519, 5505, 4902]	0
2073	2171	1	[3687, 1355, 4171]	4.0	This video is particularly magical with Tianjin dialect, and this cartoon also evokes a wave of memories.	[4053, 5, 6, 1203, 1355]	[1203, 1355, 3687, 4053, 5, 6]	0
2073	2754	1	[2236, 1931, 3331, 4508]	4.0	For me, I haven't heard of this kind of air umbrella, and it feels novel to hear it now.	[4508, 5, 6, 3589, 2236]	[5, 6, 2236, 4508, 3589]	0
2073	1623	0	[4508, 1931, 5154]	2.0	I am not interested in computers and the background music is not very nice.	[5, 6, 483, 5154, 4508]	[5, 6, 1931, 5154, 4508, 483]	0
