user_id	video_id	like	reason_tag	rating	review	video_tag	interest_tag	watch_again
1927	1827	0	[2620, 2652, 942]	1.0	Not interested in the Guinness Book of World Records origami, nothing boring.	[2620, 2652, 942]	[1264, 4427, 3489]	1
1927	934	1	[5745, 4054, 2906, 479, 271]	5.0	I love food videos, not to mention cooking. Love is over.	[5745, 271, 479, 4054, 2906]	[271, 479, 5745]	0
1927	2597	1	[5649, 1068, 2472, 5]	5.0	I especially like science, especially the popular science knowledge of human body structure.	[2472, 5649, 1068, 5]	[5649, 1264, 859, 5863, 2472]	0
1927	461	0	[4784, 4836, 3996]	1.0	I can't understand what it is. This Short Video is a failure. I don't like it.	[4836, 4784, 3996]	[1617, 2231]	1
1927	1318	0	[3164, 234]	1.0	I don't like showmaker, a professional player, and I'm even more angry with this short film.	[3164, 234]	[5074, 5953, 4994, 2089]	1
1927	4250	1	[5739, 3902, 5664]	5.0	Spring Festival Gala is the best memory of childhood, through this short film and recall the best childhood time.	[5739, 3902, 5664]	[3902, 3687, 5664, 5739]	0
1927	882	1	[4913, 195, 336]	5.0	I like to watch Diga Ultraman since I was a child. The piano remake of Diga Altman's theme song is very beautiful.	[4913, 195, 336]	[1528, 336, 195, 4913]	0
1927	2916	0	[1606, 1597, 3952]	2.0	I didn't understand what the video was about, so I didn't like it.	[1606, 1597, 3952]	[5, 6, 5739, 3952, 1606]	1
1927	2634	1	[1203, 4312, 4935]	5.0	The Adventures of Little Carp is my childhood favorite, so I like it personally, and the crooked mouth of God of War is also very interesting.	[5, 1203, 4312, 3687]	[3283, 3774, 3331, 422]	0
1927	4296	1	[1102, 1203, 4443, 5]	3.0	The video is not good-looking, I don't like watching it, it's not interesting, it's true, it subverts my cognition.	[1102, 1203, 4443, 5]	[1203, 874, 1102]	0
1927	1653	0	[1688, 330, 2958]	1.0	I don't like the second yuan, I haven't played the original god, it's not good, and the editing is not good either	[1688, 330, 2958]	[4872, 3687, 5074]	1
1927	104	1	[5, 57, 1203, 3060]	5.0	This video clip is good, the whole is good, I like Kamen Rider.	[5, 57, 1203, 3060]	[5, 1203, 3060, 57]	0
1927	886	1	[5805, 1846, 1203, 2066, 1705]	5.0	Incantation back to war this cartoon I especially love to see, flowers band of poor happy I also love to listen to.	[5805, 1846, 1203, 2066, 1705]	[1846, 2066, 5805, 1705]	0
1927	1644	1	[5, 6060, 1317, 511]	4.0	I especially like rap culture, this video rap is very emotional, I like it very much.	[5, 6060, 1317, 511]	[511, 6060, 1317, 3063]	0
1927	1322	0	[881, 5017, 877]	1.0	No interest in fashion or catwalk, and I don't understand.	[881, 5017, 877]	[2707, 3559, 1693]	1
1927	2477	1	[5, 57, 1203, 5788]	5.0	Like Kamen Rider, like Wang Xiaoming most, I also like Dawei Tianlong.	[5, 57, 1203, 5788]	[57, 5788, 5086, 1203]	0
1927	2185	1	[5, 5691, 3278, 5112, 5953]	5.0	I like League of Legends and Naruto very much. IG is the favorite team in League of Legends, so I especially like this video.	[5, 5691, 3278, 5112, 5953]	[5, 5691, 3278, 5112]	0
1927	2290	1	[5, 5286, 372, 192]	3.0	Personally, the film plot is boring, through this short film did not understand the main content of the film.	[372, 5286, 1509]	[372, 5286, 5, 1509]	0
2161	2928	1	[1619, 4366, 1083]	1.0	I have no interest in the entertainment industry and related videos, nor will I be interested in such videos.	[4080, 1619, 4366]	[4080, 1083, 1619]	0
2161	1843	1	[5680, 4174, 5725]	4.0	"As we all know,""Japanese is omnipotent,"" the whole video is very funny."	[4174, 5725, 5739, 911]	[911, 5725, 2236]	0
2161	3893	1	[2345, 5739, 2013]	4.0	It's an interesting, logical and unexpected adaptation of the original.	[3676, 2013, 1413]	[2345, 5739, 1950]	0
2161	3897	1	[1028, 1206, 1503]	2.0	I'm not interested in showbiz and its content, and I don't watch videos like that.	[723, 1206, 5927]	[1028, 2030, 919]	0
2161	1911	1	[3687, 1687, 4739]	4.0	This kind of look is very amazing, there is an unusual beauty, some interest.	[4419, 3653, 1687]	[1687, 4552, 3653]	0
2161	474	1	[212, 3985, 4654]	3.0	Naruto of the animation is not interested in this kind of video is not interested.	[4654, 1203, 212]	[1461, 212, 1203]	0
2161	1873	1	[1413, 1446, 5575]	4.0	There is a certain degree of fun, but not interested in this kind of subject matter.	[5575, 5739, 167]	[5739, 112, 5575]	0
2161	261	1	[3526, 1688, 5074]	4.0	I have heard of the original god and also know about this game, and I am interested in it.	[1688, 4029, 3526]	[3526, 4029, 3560]	0
2161	2241	1	[5691, 3837, 5953]	3.0	I don't pay attention to e-sports games at ordinary times, and I'm not interested in such videos.	[5691, 5074, 5953]	[2950, 3837, 5074]	0
2161	3745	1	[680, 5074, 4891]	3.0	Out of their own preference, do not like the Three Kingdoms kill card competition video.	[4891, 680, 3687]	[1413, 623]	0
2161	3450	1	[799, 5016, 5628]	3.0	For their own preference, do not like virtual idol video.	[5628, 1528, 5016]	[799, 5016, 1528]	0
2161	4540	1	[5156, 5844, 501]	5.0	Introducing interesting live wallpapers, there are a lot of kinds of painting styles, to meet the preferences of most people.	[4508, 3366, 5156]	[5156, 501, 4508]	0
2161	2365	0	[5028, 2532, 2858, 5823]	5.0	The performance was excellent and exactly matched the last word:I'm crazy about acting.	[5028, 5823, 2236]	[5028, 2532, 2236]	0
2161	2611	0	[4408, 3687, 5927, 5074, 4312, 3472]	5.0	The video is very funny and tells the story of the makers 'happy daily life in the game.	[4312, 5847, 1102]	[3687, 4312, 1102]	0
2161	2911	0	[4035, 1192, 2236, 5304, 3802, 3205, 4443, 4210]	5.0	The writing with straw and milk is beautiful, and the words that emerge after baking are amazing.	[3802, 5304]	[5304, 1192]	0
1860	2355	0	[5074, 2780, 3307, 706, 1092]	4.0	Video content is a field I haven't been exposed to, but the video content pictures are eye-catching	[5074, 3064, 1194, 1092]	[3826, 1194, 5074, 3766, 3307]	0
1860	4186	1	[4705, 3140, 4200, 3321, 1203, 384]	5.0	Inexplicable blood, full of childhood memories, moved, like it very much	[3321, 4499, 384, 1203, 4705]	[1202, 1203, 4499, 3321, 384, 4200]	0
1860	828	1	[4200, 2249, 4945, 1203, 4499, 4872]	5.0	Love watching Jackie Chan adventures, really like it, the video cut great, full of childhood memories	[4499, 1203, 4200, 4872, 2249]	[2249, 4872, 4200, 1203, 3140]	0
